"siteID","streamType","area","ratio_agri","agri_buffer","urb_buffer","for_buffer","grass_buffer","spec_buffer","FU_rich_buffer","fine_sub","sand","CPOM","temp","temp_coarse","speartaxa","abu_shr","perc_shred","EC_t1","EC_t2","O2_t1","O2_t2","NO2_t1","NO3_t1","PO4_t1","NH4_t1","NO2_t2","NO3_t2","PO4_t2","NH4_t2","TP_t1","TNb_t1","NP_ratio_t1","As_t1","Zn_t1","Pb_t1","Hg_t1","Cu_t1","Cd_t1","TP_t2","TNb_t2","NP_ratio_t2","As_t2","Zn_t2","Pb_t2","Hg_t2","Cu_t2","Cd_t2","pH_t1","pH_t2","flow_t1","flow_t2","sumTU_fu_date_t1","sumTU_fu_date_t2","sumTU_iv_date_t1","sumTU_iv_date_t2"
"S44","16.0",18.845,64,29.6270300518623,1.23000985534192,41.0334716128795,28.1094884799163,0,0,60,50,0,15.0474365723562,13.695234375,0.621127062403794,245.52,35.0582590815627,367.7,370.4,8.215,8.22,0.406,22.9415,0.075,0.0855,0.583666666666667,19.8513333333333,0.118333333333333,0.089,0.0165,8.535,694.895833333333,0.05,6,0.05375,0.00175,1.1,0.085,0.022,8.485,417.8125,0.05,5,0.025,0.001,1,0.085,7.45,7.9,0.35,0.35,-4.79242470843191,-5.20794077160476,-4.36077942089098,-4.13027590322983
"S108","5.0",2.30875,0,0,0,85.1424710555331,14.8575289444669,0,0,0,0,0,15.8177471580215,14.2862436079545,0.882989301028846,23.04,7.18204488778055,164.84,154.15,NA,NA,0.025,1.71166666666667,0.075,0.01,0.025,2.21333333333333,0.075,0.0143333333333333,0.399,1.127,75.1383647798742,0.05,1.25,0.025,0.001,4.6,0.03,0.795,1.81,2.27672955974843,0.05,1.25,0.025,0.001,3.7,0.03,7.85333333333333,8.18,0.3,0.3,-2.4967603571098,-2.16013577342759,-5.3129603053429,-4.95954312291579
"S45","16.0",17.88875,82.85,62.202103313967,5.33737190045726,5.2709495500514,27.1895752355243,0,0,80,40,5,13.99,13.1313705583756,0.368693268841896,45.68,21.070110701107,143.4,326.3,NA,7.03,0.190666666666667,25.0403333333333,0.105333333333333,0.865333333333333,0.4945,31.2085,0.075,0.0815,0.0256666666666667,10.7333333333333,1529.87012987013,0.416666666666667,15,0.186666666666667,0.001,3.63333333333333,0.25,0.011,11.2,1018.18181818182,0.6,13,0.025,0.001,0.1,0.25,7.7,7.7,0.3,0.3,-3.48355230030648,-4.01969291663622,-4.99109828266516,-4.1663102970225
"S109","7.0",1.846875,0,0,0,100,0,0,0,30,30,20,13.5775858258319,15.8865246139144,0.485454314831606,94.96,48.687448728466,1167.5,1131.3,9.04,6.59,0.7075,4.26466666666667,0.377,0.1585,0.7075,3.94,0.528,0.1585,0.0846666666666667,2.07333333333333,252.371194379391,0.8,1.33333333333333,0.025,0.0166666666666667,1.6,0.01,0.1255,2.315,113.556791569087,0.7,0.5,0.025,0.0245,0.95,0.005,7.885,7.85,0.2,0.2,-2.56056774334771,-2.62597710361856,-4.59745729930642,-4.42750249245699
"S48","14.0",19.349375,75.65,48.7347122836024,1.0110797862757,25.5692846529177,24.6849232772042,0.815511066416098,0.815511066416098,12.5,7.5,0,17.6052374280377,16.6111611529872,0.393439648706193,41.52,17.5456389452333,831.9,927.1,1.83,1.71,0.283,4.44133333333333,1.84933333333333,0.929333333333333,0.079,2.7,1.963,0.227,1.202,3.61333333333333,3.51985511842655,3.03333333333333,4.33333333333333,0.11,0.003,5.66666666666667,0.0183333333333333,0.678,3.025,4.21533823319538,2.35,3.5,0.1525,0.001,5.1,0.025,7.8,8.1,0,0,-2.34865300668974,-2.23170949562729,-1.81580745520172,-1.84445005487781
"S49","14.0",6.7725,84.18,69.8687671859356,3.58776732623551,4.31210058556496,22.2313649022639,0,3.50273867359781,67.5,45,5,15.1072702850877,13.7492443789944,0.55418332889261,272.4,47.0173985086993,685.2,689.5,8.54,8.61,0.124666666666667,17.7953333333333,0.14,0.0903333333333333,0.1525,17.22,0.1725,0.106,0.024,5.80666666666667,364.179669030733,0.05,2.83333333333333,0.0533333333333333,0.002,2.36666666666667,0.0133333333333333,0.0285,5.51,332.936170212766,0.05,1.25,0.0675,0.001,2.15,0.005,8.15,8.1,0.3,0.3,-2.28886098258708,-2.15569856194916,-3.99337259087253,-3.49280938512533
"S95","14.0",4.8925,100,82.4138543227555,1.26581219440446,3.23106218790378,13.0892712949363,4.66971203793703,4.66971203793703,17.5,17.5,2.5,16.0108057437055,15.3845859375,0,106.4,12.8539673335266,641.2,668.4,5.28,5.77,0.2395,9.0305,0.412,0.0545,0.2395,9.0305,0.412,0.0545,0.1335,4.09,33.5078085322499,2.3,3,0.07,0.001,3.1,0.005,0.1335,4.09,33.5078085322499,2.3,3,0.07,0.001,3.1,0.005,8,8,0.1,0.1,-2.4029020100809,-2.4029020100809,-0.697085631457806,-0.697085631457806
"S50","14.0",5.400625,79.4,74.5827031788739,2.47392478257921,5.00646805645345,17.9369039820934,0,0,22.5,12.5,0,15.1,13.7,0.412485100219519,661.2,42.2394848469362,NA,NA,NA,NA,0.304333333333333,9.10433333333333,0.715333333333333,0.561666666666667,0.272666666666667,6.84666666666667,0.717333333333333,0.678,0.0863333333333333,2.96333333333333,72.3347158218126,2.4,2.83333333333333,0.286666666666667,0.00866666666666667,1.53333333333333,0.0133333333333333,0.114,2.97,60.9214285714286,2.35,3.25,0.4175,0.011,1.8,0.0175,8.15,8.2,0.5,0.5,-2.34510720264072,-2.29398863201259,-3.50858354803324,-2.53464053691764
"S53","5.1",5.7325,14.45,23.9552034972263,3.96626604730526,66.7812774793968,5.29725297607163,23.9552034972263,23.9552034972263,20,20,10,17.9101711151552,15.7201492686954,0.402634971342113,8468.4,66.5302813183498,161.7,170.9,7.56,8,0.153,8.256,0.5075,0.1065,0.125,6.286,0.178,0.09,0.081,1.007,13.4040404040404,4.65,3,0.135,0.0075,1.95,0.03,0.063,1.12,17.7777777777778,3.6,4,0.15,0.004,1.5,0.03,7.7425,7.87,0.06375,0.1025,-2.47656845645279,-2.57503667200807,-1.7256111900537,-1.76282947908098
"S56","5.1",10.004375,19.43,56.0404876197047,31.7017517858482,0.419940319595534,11.8378202748516,56.0404876197047,56.0404876197047,0,0,0,18.7792781829132,16.9712203698204,0.482427339857451,2557.52,49.1150714395452,429.6,407.6,7.57,8.1,0.092,9.1415,0.92,0.074,0.066,7.437,0.592,0.062,0.2085,2.16,10.890597967128,4.85,2.25,0.025,0.005,3.55,0.005,0.128,1.57,12.265625,2.9,4,0.025,0.004,3.7,0.005,8.1415,8.22,0.08,0.13,-2.50155744617627,-2.34051092284385,-2.66778155311264,-2.28733660194053
